,main_temp,main_feels_like,main_pressure,main_humidity,main_temp_min,main_temp_max,wind_speed,wind_deg,Day,hour,minute,year_2020,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12
106,2,-4,981,71,2,3,7.2,230.0,1,9,30,1,0,0,1,0,0,0,0,0,0,0,0,0
107,2,-4,981,71,2,4,7.2,230.0,1,9,40,1,0,0,1,0,0,0,0,0,0,0,0,0
108,3,-4,981,71,2,4,7.2,230.0,1,9,50,1,0,0,1,0,0,0,0,0,0,0,0,0
109,3,-3,981,71,2,4,7.2,240.0,1,10,0,1,0,0,1,0,0,0,0,0,0,0,0,0
110,3,-3,981,75,2,4,7.2,240.0,1,10,10,1,0,0,1,0,0,0,0,0,0,0,0,0
111,3,-3,981,71,2,4,7.2,240.0,1,10,20,1,0,0,1,0,0,0,0,0,0,0,0,0
112,4,-3,981,71,3,4,7.7,240.0,1,10,30,1,0,0,1,0,0,0,0,0,0,0,0,0
113,4,-3,981,67,3,4,7.7,240.0,1,10,40,1,0,0,1,0,0,0,0,0,0,0,0,0
114,4,-2,981,75,3,4,7.2,240.0,1,10,50,1,0,0,1,0,0,0,0,0,0,0,0,0
115,4,-2,981,75,3,4,7.2,240.0,1,11,0,1,0,0,1,0,0,0,0,0,0,0,0,0
116,4,-2,981,75,3,5,7.2,240.0,1,11,10,1,0,0,1,0,0,0,0,0,0,0,0,0
117,4,-2,981,75,4,5,7.2,240.0,1,11,20,1,0,0,1,0,0,0,0,0,0,0,0,0
118,4,-1,981,75,4,5,7.2,240.0,1,11,30,1,0,0,1,0,0,0,0,0,0,0,0,0
119,5,-1,981,75,4,5,7.2,240.0,1,11,40,1,0,0,1,0,0,0,0,0,0,0,0,0
120,5,-1,981,75,4,5,7.2,240.0,1,11,50,1,0,0,1,0,0,0,0,0,0,0,0,0
121,5,-1,981,73,3,6,7.2,240.0,1,12,0,1,0,0,1,0,0,0,0,0,0,0,0,0
122,5,-1,981,67,4,6,7.2,240.0,1,12,10,1,0,0,1,0,0,0,0,0,0,0,0,0
123,5,-1,981,67,4,6,7.2,240.0,1,12,20,1,0,0,1,0,0,0,0,0,0,0,0,0
124,5,-1,982,75,4,5,6.7,240.0,1,12,30,1,0,0,1,0,0,0,0,0,0,0,0,0
